Year,Population,Violent Crime,Violent Crime Rate
2000,281421906,1425486,506.5
2001,285317559,1439480,504.5
2002,287973924,1423677,494.4
2003,290788976,1383676,475.8
2004,293656842,1360088,463.2
2005,296507061,1390745,469
2006,299398484,1435123,479.3
2007,301621157,1422970,471.8
2008,304059724,1394461,458.6
2009,307006550,1325896,431.9
2010,309330219,1251248,404.5
2011,311587816,1206005,387.1
2012,313873685,1217057,387.8
2013,316497531,1168298,369.1
2014,318907401,1153022,361.6
2015,320896618,1199310,373.7
2016,323405935,1250162,386.6
2017,325147121,1247917,383.8
2018,326687501,1209997,370.4
2019,328239523,1203808,366.7
